Блок,ID,Название (Title):,Описание (Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):
,,,,,,10. Выбрать дату (завтра) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Выбрать на циферблате другие часы и минуты публикации и нажать ок.,12. Time заполнилось выбранным временем
,,,,,,13. Выбрать description,13. Поле открылось для заполнения
,,,,,,14. Написать любой текст,14. Поле description заполнилось выбранным текстом
,,,,,,15. Нажать кнопку Save,15. Новость опубликовалась c новыми изменениями. 
,17,Редактирование существующей новости Wifi (чек-бокс not active),,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Выбрать новость и нажать на блокнот с карандашом,"6. Открылось окно Editing News - c заполненными полями Category, title, publication date, time, discription. С активными кнопками Save и Cancel."
,,,,,,7. Нажать на поле Category,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать категорию любую другую,8. Category и Title заполнилось тестом Объявление
,,,,,,9. Нажать на Publication date,9. Открылся календарь с кнопками cancel и ok
,,,,,,10. Выбрать дату (конец месяца) и нажать ок,10. В Publication date выставилась выбранная дата 
,,,,,,11. Нажать на Time,"11. Открылся циферблат с активными кнопками cancel, ok, переключатель на клавиатуру."
,,,,,,12. Выбрать на циферблате другие часы и минуты публикации и нажать ок.,12. Time заполнилось выбранным временем
,,,,,,13. Выбрать description,13. Поле открылось для заполнения
,,,,,,14. Написать любой текст,14. Поле description заполнилось выбранным текстом
,,,,,,15. Нажать чек-бокс not active,15. Новость not active в Control panel.  В разделе News она не отображается.
Удаление новости,18,Удаление существующей новости Wifi (чек-бокс not active),,High,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку создать запись (блокнот с ручкой),5. Открылось окно Control panel
,,,,,,6 Выбрать любую новость и нажать на знак мусорки (удалить),6. Вышло уведомление Are you sure you want to permanently delete the document?  These changes cannot be reversed in the future? Активными кнопками cancel и ок. 
,,,,,,7. Нажать на Cancel ,7. Уведомление закрылось.
,,,,,,8. Выбрать любую новость и нажать на знак мусорки (удалить),8. Вышло уведомление Are you sure you want to permanently delete the document?  These changes cannot be reversed in the future? Активными кнопками cancel и ок. 
,,,,,,9. Нажать ок,9. Новость удалена в Control panel и в разделе News.
Фильтры,19,Фильтрация по убыванию новостей в разделе Control Panel,,Low,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку (Блокнот ручка),5. Откроется панель Control Panel
,,,,,,6. Нажать на кнопку (стрелки вверх вниз),6. В раздле News новости распределились по убыванию.
,,,,,,7. Нажать на кнопку (стрелки вверх вниз),7. В раздле News новости распределились по возрастанию.
,20,Фильтрация по убыванию новостей в разделе News,,Low,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку (стрелки вверх вниз),5. В раздле News новости распределились по убыванию.
,,,,,,6. Нажать на кнопку (стрелки вверх вниз),6. В раздле News новости распределились по возрастанию.
,21,"Фильтрация Filter news в Control Panel ( Категория объявление, дата (сегодня),  active",,Low,Создать новость активную с категорией объявление от сегодня,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку (Блокнот ручка),5. Откроется панель Control Panel
,,,,,,6. Нажать на кнопку Filter news (три полоски с кругом на каждой),"6. Открылось окно Filter news. С полем Category( 8 раздлелов), поля дата (от и до)"
,,,,,,7. Нажать на Category ,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать Объявление,8. Поле Category заполнилось значением - Объявление
,,,,,,9. Нажать на поле Дата (первое),9. Открылось окно календаря. С активными кнопками ок и cancel.
,,,,,,10. Выбрать дату (сегодня) и нажать ок.,10. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,11. Нажать на поле Дата (второе поле),11. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,12. Нажать чек-бокс  activity,12. Чек-бокс проставлен
,,,,,,11. Нажать на кнопку Filter,"12. Вышли новости с категорией Объявление с датой публикации (сегодня), активные"
,22,"Фильтрация Filter news в Control Panel ( Категория объявление, дата (сегодня), not active",,Low,Создать новость неактивную с категорией объявление от сегодня,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку (Блокнот ручка),5. Откроется панель Control Panel
,,,,,,6. Нажать на кнопку Filter news (три полоски с кругом на каждой),"6. Открылось окно Filter news. С полем Category( 8 раздлелов), поля дата (от и до)"
,,,,,,7. Нажать на Category ,"7. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,8. Выбрать Объявление,8. Поле Category заполнилось значением - Объявление
,,,,,,9. Нажать на поле Дата (первое),9. Открылось окно календаря. С активными кнопками ок и cancel.
,,,,,,10. Выбрать дату (сегодня) и нажать ок.,10. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,11. Нажать на поле Дата (второе поле),11. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,12. Нажать чек-бокс not activity,12. Чек-бокс проставлен
,,,,,,11. Нажать на кнопку Filter,"12. Вышли новости с категорией Объявление с датой публикации (сегодня), неактивные"
,23,"Фильтрация Filter news ( Категория объявление, дата (сегодня)",,Low,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку Filter news (три полоски с кругом на каждой),"5. Открылось окно Filter news. С полем Category( 8 раздлелов), поля дата (от и до)"
,,,,,,6. Нажать на Category ,"6. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,7. Выбрать Объявление,7. Поле Category заполнилось значением - Объявление
,,,,,,8. Нажать на поле Дата (первое),8. Открылось окно календаря. С активными кнопками ок и cancel.
,,,,,,9. Выбрать дату (сегодня) и нажать ок.,9. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,10. Нажать на поле Дата (второе поле),10. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,11. Нажать на кнопку Filter,12. Вышли новости с категорией Объявление с датой публикации (сегодня). 
,24,"Фильтрация Filter news ( Категория Праздник (нет новостей), дата (сегодня)",,Low,Нет новостей с категорией Праздник (егодняшним числом),1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку Filter news (три полоски с кругом на каждой),"5. Открылось окно Filter news. С полем Category( 8 раздлелов), поля дата (от и до)"
,,,,,,6. Нажать на Category ,"6. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,7. Выбрать Праздник,7. Поле Category заполнилось значением - Объявление
,,,,,,8. Нажать на поле Дата (первое),8. Открылось окно календаря. С активными кнопками ок и cancel.
,,,,,,9. Выбрать дату (через неделю) и нажать ок.,9. Поле Дата заполнилось значением даты (через неделю в формате дд.мм.гггг)
,,,,,,10. Нажать на поле Дата (второе поле),10. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,11. Нажать на кнопку Filter,11. Открылось окно News  с отсутствующими новостями.  Активная кнопка refresh. Рисунок бабочки.
,25,"Фильтрация Filter news ( Категория Массаж, дата (вчера)",,Low,Есть новости с категорией Массаж за вчера,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку All news,4 Открылся раздел News
,,,,,,5. Нажать на кнопку Filter news (три полоски с кругом на каждой),"5. Открылось окно Filter news. С полем Category( 8 раздлелов), поля дата (от и до)"
,,,,,,6. Нажать на Category ,"6. Открылось окно с выбором категорий (Объявление, День Рождение, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь). "
,,,,,,7. Выбрать Массаж,7. Поле Category заполнилось значением - Объявление
,,,,,,8. Нажать на поле Дата (первое),8. Открылось окно календаря. С активными кнопками ок и cancel.
,,,,,,9. Выбрать дату (вчера) и нажать ок.,9. Поле Дата заполнилось значением даты (через неделю в формате дд.мм.гггг)
,,,,,,10. Нажать на поле Дата (второе поле) и выбрать дату (вчера),10. Поле Дата заполнилось значением даты (сегодня в формате дд.мм.гггг)
,,,,,,11. Нажать на кнопку Filter,11. Открылось окно News  с отсутствующими новостями.  Активная кнопка refresh. Рисунок бабочки.
Раздел меню,26,Переход из разделов меню,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку меню (три полоски слева),"4 Открылось окно с выбором разделов - Main (задизейблен), News, About."
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6. Нажать на кнопку меню (три полоски слева),"6. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,7. Нажать на кнопку About,"7. Переход в раздел о приложении. указана версия мп, политика приватности? условия использования с активной ссылкой."
,,,,,,8. Нажать на кнопку меню (три полоски слева),"8. Открылось окно с выбором  разделов, где About задизеблен,  News и Main активные."
Love is all,27,Переход в раздел Love is all из раздела About,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на кнопку меню (три полоски слева),"4. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,5. Нажать на кнопку About,"5. Переход в раздел о приложении. указана версия мп, политика приватности, условия использования с активной ссылкой. Активная кнопка назад. Нет активный кнопки Love is all"
,28,Переход в раздел Love is all из раздела Control Panel,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на кнопку меню (три полоски слева),"4. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6 Нажать на кнопку (блокнот и ручка),6 Открылось окно Control panel
,,,,,,7 Нажать на кнопку анимированную (бабочка),7 Открылось окно Love is all с цитатами 
,29,Переход в раздел Love is all из раздела News,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на кнопку меню (три полоски слева),"4. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6 Нажать на кнопку анимированную (бабочка),6 Открылось окно Love is all с цитатами 
,30,Переход в раздел Love is all из раздела Main,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку анимированную (бабочка),4 Открылось окно Love is all с цитатами 
,,,,,,5. Нажать на кнопку News,"5. Переход в раздел News. Содержит активные кнопки сортировка по убыванию, фильтр по категории и дате, создание новости."
,,,,,,6. Нажать на кнопку меню (три полоски слева),"6. Открылось окно с выбором  разделов, где  News задизеблен, About и Main активные."
,,,,,,7. Нажать на кнопку About,"7. Переход в раздел о приложении. указана версия мп, политика приватности? условия использования с активной ссылкой."
,,,,,,8. Нажать на кнопку меню (три полоски слева),"8. Открылось окно с выбором  разделов, где About задизеблен,  News и Main активные."
Выход из приложения из разделов,31,Выход из акаунта из раздела Love ia all,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4 Нажать на кнопку анимированную (бабочка),4 Открылось окно Love is all с цитатами 
,,,,,,5. Нажать на иконку человека справа,5. Вышло окно Log out
,,,,,,6. Нажать на Log out,6. открылось окно авторизации
,32,Выход из акаунта из раздела Main,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,5. Нажать на иконку человека справа,5. Вышло окно Log out
,,,,,,6. Нажать на Log out,6. открылось окно авторизации
,33,Выход из акаунта из раздела Control Panel,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,5. Нажать на меню(три полоски) выбрать раздел News,5. Вышло окно News
,,,,,,6. Нажать на кнопку (блокнот и ручка),6. Открылось окно Control Panel
,,,,,,7. Нажать на иконку человека справа,7. Вышло окно Log out
,,,,,,8. Нажать на Log out,8. открылось окно авторизации
,34,Выход из акаунта из раздела News,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,5. Нажать на меню(три полоски) выбрать раздел News,5. Вышло окно News
,,,,,,5. Нажать на иконку человека справа,5. Вышло окно Log out
,,,,,,6. Нажать на Log out,6. открылось окно авторизации
,35,Выход из акаунта из раздела About,,Medium,,1 Запустить приложение Хоспис,1 Открылось окно авторизации
,,,,,,2 Ввести логин и пароль,2 поле открыто для заполнения
,,,,,,3 Нажать кнопку Sign in,3 Открылось окно News раздела Main c 3 последними новостями
,,,,,,4. Нажать на меню(три полоски) выбрать раздел About,"4. Переход в раздел о приложении. указана версия мп, политика приватности, условия использования с активной ссылкой. Активная кнопка назад. Нет активный кнопки Log out"